Time,L1_0_5,L2_0_5,Total0_5,L1_2_0,L2_2_0,Total2_0,Time_H,Time_HS,Time_HS,Time_HSK
3:30:04 PM,0.001,0.0072,0.0082,0.0055,0.0057,0.0111,00:00.0,2/28/2023 15:30:04.124,44985.6458810648,2/28/2023 0:00:00.000
3:30:04 PM,-0.0012,0.0157,0.0145,0.0029,0.0098,0.0126,00:00.1,2/28/2023 15:30:04.214,44985.6458821065,2/28/2023 0:00:00.090
3:30:04 PM,-0.0019,0.0219,0.02,0.0045,0.0062,0.0107,00:00.2,2/28/2023 15:30:04.300,44985.6458831019,2/28/2023 0:00:00.176
3:30:04 PM,-0.0067,0.0267,0.0201,0.0162,0.0062,0.0224,00:00.3,2/28/2023 15:30:04.391,44985.6458841551,2/28/2023 0:00:00.267
3:30:04 PM,-0.0126,0.0278,0.0152,0.0217,0.0067,0.0283,00:00.4,2/28/2023 15:30:04.486,44985.6458852546,2/28/2023 0:00:00.362
3:30:05 PM,-0.0143,0.0316,0.0174,0.0226,0.0031,0.0257,00:00.4,2/28/2023 15:30:04.563,44985.6458861458,2/28/2023 0:00:00.439
3:30:05 PM,-0.004,0.0381,0.034,0.0288,0.0049,0.0337,00:00.5,2/28/2023 15:30:04.661,44985.6458872801,2/28/2023 0:00:00.537
3:30:05 PM,0.0059,0.0481,0.054,0.0395,0.0136,0.0531,00:00.6,2/28/2023 15:30:04.757,44985.6458883912,2/28/2023 0:00:00.633
3:30:05 PM,0.0174,0.0717,0.0891,0.0652,0.064,0.1292,00:00.7,2/28/2023 15:30:04.836,44985.6458893056,2/28/2023 0:00:00.712
3:30:05 PM,0.0281,0.0903,0.1183,0.0966,0.1221,0.2188,00:00.8,2/28/2023 15:30:04.933,44985.6458904282,2/28/2023 0:00:00.809
3:30:05 PM,0.045,0.1085,0.1535,0.1349,0.1803,0.3152,00:00.9,2/28/2023 15:30:05.027,44985.6458915162,2/28/2023 0:00:00.903
3:30:05 PM,0.0564,0.1288,0.1852,0.1666,0.2433,0.4098,00:01.0,2/28/2023 15:30:05.105,44985.6458924190,2/28/2023 0:00:00.981
