t,Mass0,Mass0_5,Mass1_0,Mass1_5,Mass2_0,Minutes
1,0,0.016502464,0.000492611,-0.000492611,0.000985222,0
2,0.000246305,0.048768476,0.002216749,-0.001724138,0.001477833,0.0015
3,0.000246305,0.051477835,0.003201971,-0.002463054,0.001477833,0.003
4,0.000492611,0.051477835,0.003940887,-0.002463054,0.001477833,0.0045
5,0.000985222,0.075123154,0.004433498,-0.001970443,0.001231527,0.006
6,0.00270936,0.145320207,0.004187192,-0.001724138,0.001724138,0.0075
7,0.003694581,0.217241392,0.003940887,0.023399016,0.084236458,0.009
8,0.00270936,0.249261096,0.004679803,0.166009858,0.570689678,0.0105
9,0.001724138,0.279064059,0.023891626,0.402216762,0.73743844,0.012
10,0.001231527,0.309113324,0.124876849,0.517241418,0.863054216,0.0135
11,0.001477833,0.340147793,0.184975371,0.612561584,0.987931073,0.015
12,0.000985222,0.371428579,0.246798038,0.707389176,1.11280787,0.0165
13,-0.000246305,0.402463078,0.309605926,0.801724136,1.23743844,0.018
14,-0.000492611,0.432758629,0.371674895,0.894827604,1.362069011,0.0195
15,-0.001970443,0.462561578,0.433497548,0.988423645,1.486945868,0.021
16,-0.002955665,0.492364556,0.494827598,1.081527114,1.611330152,0.0225
17,-0.003201971,0.523152709,0.556896567,1.175369501,1.736206889,0.024
18,-0.001970443,0.537438452,0.61871922,1.267241359,1.861576438,0.0255
19,-0.001477833,0.498768479,0.680788219,1.361083746,1.986453295,0.027
20,-0.001970443,0.498275876,0.742118239,1.454926133,2.11206913,0.0285
21,-0.00270936,0.526601017,0.803694606,1.54876852,2.236945868,0.03
22,-0.003940887,0.533990145,0.865270972,1.641871929,2.361330032,0.0315
23,-0.005418719,0.535221696,0.926847339,1.710344911,2.402463198,0.033
24,-0.00591133,0.493842393,0.989162564,1.712069035,2.40295577,0.0345
25,-0.006403941,0.491625637,1.031527162,1.663793206,2.041133165,0.036
26,-0.005418719,0.490394115,1.033497572,1.521428585,1.999753714,0.0375
27,-0.005665025,0.490886718,0.993842423,1.500246406,1.999753714,0.039
28,-0.006157636,0.490640402,0.992364585,1.498522162,1.998275876,0.0405
29,-0.006650247,0.48940888,0.993103504,1.49729073,1.997783303,0.042
30,-0.006650247,0.487931043,0.993103504,1.495566607,1.99729073,0.0435
31,-0.007142857,0.487192124,0.992610872,1.494088769,1.996551752,0.045
32,-0.007881774,0.487192124,0.993596077,1.494581342,1.995812893,0.0465
33,-0.008866996,0.487684757,0.995073915,1.494581342,1.995073915,0.048
34,-0.008128079,0.488177359,0.99605912,1.494827628,1.994335055,0.0495
35,-0.008128079,0.488177359,0.995812833,1.495566607,1.993596077,0.051
36,-0.00862069,0.488177359,0.99605912,1.496798038,1.993103504,0.0525
37,-0.008374385,0.488423645,0.996798038,1.496305466,1.992857218,0.054
38,-0.007635468,0.488423645,0.997290671,1.495566607,1.992364645,0.0555
39,-0.007142857,0.488669962,0.997290671,1.495812893,1.992610931,0.057
40,-0.006650247,0.488669962,0.997290671,1.495566607,1.993349791,0.0585
41,-0.00591133,0.487684757,0.997044384,1.495073915,1.993842483,0.06
42,-0.006896552,0.487931043,0.99802959,1.493842363,1.993349791,0.0615
43,-0.007635468,0.488669962,0.998275876,1.492364526,1.994088769,0.063
44,-0.007389163,0.489162564,0.997290671,1.492364526,1.994581342,0.0645
45,-0.006650247,0.489655197,0.997290671,1.491133094,1.994088769,0.066
46,-0.006650247,0.489901483,0.997536957,1.490640402,1.994581342,0.0675
47,-0.006650247,0.490147799,0.996798038,1.490394115,1.994581342,0.069
48,-0.006403941,0.491133034,0.997044384,1.490640402,1.994335055,0.0705
49,-0.005665025,0.492118239,0.996305466,1.491133094,1.995073915,0.072
50,-0.004926109,0.492364556,0.995566547,1.489655256,1.995566607,0.0735
51,-0.004679803,0.492118239,0.995566547,1.488916278,1.995073915,0.075
52,-0.005172414,0.491871923,0.995812833,1.48743844,1.995566607,0.0765
53,-0.004926109,0.491625637,0.995566547,1.486699581,1.995073915,0.078
54,-0.004926109,0.490886718,0.995073915,1.486453295,1.994581342,0.0795
55,-0.004679803,0.489901483,0.994827628,1.485960603,1.993842483,0.081
56,-0.004679803,0.48940888,0.995073915,1.48546803,1.993103504,0.0825
57,-0.00591133,0.489162564,0.99605912,1.484236479,1.993103504,0.084
58,-0.005665025,0.489655197,0.997290671,1.483251333,1.992610931,0.0855
59,-0.005172414,0.490640402,0.997044384,1.482019782,1.992364645,0.087
60,-0.004679803,0.490886718,0.99605912,1.482019782,1.992857218,0.0885
61,-0.003448276,0.490394115,0.996305466,1.482019782,1.992857218,0.09
62,-0.003201971,0.490394115,0.996798038,1.482019782,1.992857218,0.0915
63,-0.003694581,0.489655197,0.997783303,1.482019782,1.993349791,0.093
64,-0.003201971,0.489162564,0.99802959,1.481280804,1.992857218,0.0945
65,-0.00270936,0.489162564,0.999014795,1.480541945,1.992857218,0.096
66,-0.001970443,0.488669962,0.999014795,1.480049253,1.993349791,0.0975
67,-0.001970443,0.488177359,0.999261141,1.47955668,1.993349791,0.099
68,-0.001724138,0.488177359,0.999014795,1.479310393,1.993103504,0.1005
69,-0.001477833,0.488669962,0.998275876,1.478817821,1.994088769,0.102
70,-0.001231527,0.488669962,0.997290671,1.478078842,1.994827628,0.1035
71,-0.002216749,0.488177359,0.997536957,1.476847291,1.996305466,0.105
72,-0.002216749,0.488916278,0.998275876,1.476108432,1.997537017,0.1065
73,-0.00270936,0.488916278,0.998768508,1.475862145,1.998768568,0.108
74,-0.003940887,0.489162564,0.998275876,1.475123167,1.999507427,0.1095
75,-0.003940887,0.489162564,0.997290671,1.474384308,1.998522282,0.111
76,-0.003940887,0.489162564,0.997783303,1.474138021,1.998275876,0.1125
77,-0.004926109,0.48940888,0.998275876,1.473891616,1.998768568,0.114
78,-0.005418719,0.48940888,0.998275876,1.472413778,1.999261141,0.1155
79,-0.006403941,0.490147799,0.997536957,1.471674919,1.999014854,0.117
80,-0.006403941,0.490147799,0.99802959,1.471428633,1.997783303,0.1185
81,-0.00591133,0.490640402,0.999014795,1.471428633,1.996798038,0.12
82,-0.006157636,0.490394115,0.998522222,1.471182346,1.996798038,0.1215
83,-0.005665025,0.490886718,0.997290671,1.471182346,1.996551752,0.123
84,-0.005172414,0.491133034,0.996305466,1.469950795,1.996305466,0.1245
85,-0.004187192,0.491379321,0.995320201,1.469458222,1.995566607,0.126
86,-0.004187192,0.490886718,0.994581282,1.469704509,1.995320201,0.1275
87,-0.004187192,0.490640402,0.994581282,1.470197082,1.994827628,0.129
88,-0.003448276,0.491379321,0.993842423,1.470443368,1.993349791,0.1305
89,-0.00270936,0.492118239,0.993596077,1.470443368,1.992364645,0.132
90,-0.002463054,0.491133034,0.991871953,1.469211817,1.991871953,0.1335
91,-0.00270936,0.490640402,0.990640402,1.46896553,1.99137938,0.135
92,-0.002463054,0.490147799,0.991133034,1.468719244,1.990886807,0.1365
93,-0.001231527,0.490394115,0.990640402,1.469211817,1.991133094,0.138
94,-0.001724138,0.48940888,0.990147829,1.46896553,1.990886807,0.1395
95,-0.001231527,0.488177359,0.990394115,1.469950795,1.990640402,0.141
96,-0.000985222,0.487192124,0.991625667,1.470197082,1.990147829,0.1425
97,0,0.487192124,0.992857158,1.470689654,1.989655256,0.144
98,-0.000492611,0.486206919,0.992857158,1.470689654,1.990147829,0.1455
99,-0.001724138,0.484975398,0.992364585,1.469704509,1.990640402,0.147
100,-0.00270936,0.48349756,0.993103504,1.469458222,1.990886807,0.1485
101,-0.003448276,0.483251244,0.994334996,1.469704509,1.991133094,0.15
102,-0.004187192,0.48349756,0.99605912,1.470689654,1.990640402,0.1515
103,-0.005172414,0.483743846,0.997536957,1.470443368,1.990640402,0.153
104,-0.005665025,0.483990163,0.998522222,1.46896553,1.990394115,0.1545
105,-0.005172414,0.483743846,0.999014795,1.467241406,1.990394115,0.156
106,-0.00591133,0.483004928,1.000492692,1.466502547,1.990886807,0.1575
107,-0.006650247,0.483743846,1.001231551,1.466009855,1.99137938,0.159
108,-0.006403941,0.485468,1.001724124,1.466256261,1.990886807,0.1605
109,-0.006403941,0.486453205,1.002955675,1.467733979,1.990886807,0.162
110,-0.006157636,0.486945838,1.003694654,1.468472958,1.99137938,0.1635
111,-0.006157636,0.486453205,1.004679799,1.469458222,1.991625667,0.165
112,-0.005172414,0.48743844,1.005172491,1.470197082,1.992857218,0.1665
113,-0.004433498,0.488423645,1.004679799,1.469950795,1.993349791,0.168
114,-0.004433498,0.488916278,1.004187226,1.469211817,1.993349791,0.1695
115,-0.003940887,0.488423645,1.004187226,1.469950795,1.993103504,0.171
116,-0.003694581,0.48940888,1.00394094,1.468226671,1.991871953,0.1725
117,-0.003448276,0.490640402,1.00394094,1.469211817,1.991625667,0.174
118,-0.001724138,0.490886718,1.003448248,1.470197082,1.991871953,0.1755
119,-0.001477833,0.491379321,1.003201962,1.469704509,1.990886807,0.177
120,-0.001724138,0.490886718,1.002216816,1.468719244,1.990394115,0.1785
121,-0.001724138,0.490394115,1.002955675,1.468226671,1.990640402,0.18
122,-0.001970443,0.490886718,1.003694654,1.468226671,1.98940897,0.1815
123,-0.003448276,0.491133034,1.006403923,1.469458222,1.990147829,0.183
124,-0.002216749,0.491625637,1.006650329,1.469950795,1.989162564,0.1845
125,-0.000985222,0.491133034,1.006157637,1.470689654,1.989162564,0.186
126,-0.000985222,0.490886718,1.007389188,1.471428633,1.988916278,0.1875
127,-0.001231527,0.490147799,1.008374453,1.470443368,1.988669991,0.189
