mass0,mass0_5,mass1_0,mass1_5,mass2,time_minutes
-0.002571554,0.46877712,1.188697696,1.588158846,2.307775497,0
0.007395254,0.467015445,1.193713546,1.584133148,2.299834728,0.0015
0.009080029,0.467414439,1.192466259,1.587226272,2.29602766,0.003
0.00957512,0.464662611,1.190125227,1.590833664,2.291288137,0.0045
0.015266381,0.46577543,1.196112156,1.597020149,2.28441453,0.006
0.023279352,0.468565702,1.201861143,1.600589156,2.27348423,0.0075
0.028836079,0.469099224,1.209455729,1.597991109,2.264296055,0.009
0.029929671,0.469317943,1.21703124,1.589843512,2.257556915,0.0105
0.029910449,0.469041586,1.222227573,1.579593062,2.251704693,0.012
0.021762948,0.468803644,1.225320697,1.57598567,2.242869854,0.0135
0.01305539,0.466366619,1.216812611,1.572301149,2.231398582,0.015
0.015054975,0.465595156,1.21875453,1.570282459,2.22471714,0.0165
0.01107502,0.470887423,1.221648216,1.569272995,2.222909689,0.018
0.003403392,0.474970758,1.226882815,1.576668262,2.21954751,0.0195
-0.002802179,0.477407783,1.227043867,1.575221419,2.209703445,0.021
-0.008673719,0.482339501,1.224606872,1.567273378,2.20208931,0.0225
-0.011194928,0.483586848,1.233172655,1.563408732,2.19767189,0.024
-0.01633344,0.483586848,1.233610034,1.557936192,2.195588112,0.0255
-0.023490757,0.485129774,1.235179424,1.557897806,2.19259119,0.027
-0.030905232,0.48562488,1.234569073,1.562180758,2.183537483,0.0285
-0.031457979,0.487489909,1.235958338,1.560039282,2.176187992,0.03
-0.034332436,0.488756478,1.233244896,1.560296297,2.173301697,0.0315
-0.038185172,0.488833368,1.224544644,1.566997051,2.17182374,0.033
-0.051432747,0.487605214,1.217034101,1.562219143,2.169586182,0.0345
-0.0538963,0.487309635,1.214121103,1.557126284,2.16433239,0.036
-0.052610524,0.487566769,1.21073246,1.557287455,2.161914587,0.0375
-0.054160766,0.488338232,1.202983856,1.561036706,2.157466173,0.039
-0.050296128,0.48630023,1.196206331,1.562130213,2.155235767,0.0405
-0.044347711,0.485406131,1.195139408,1.561082482,2.155062914,0.042
-0.047544289,0.488987118,1.19551909,1.561995745,2.145199537,0.0435
-0.043545116,0.488054574,1.194052935,1.57072258,2.13421607,0.045
-0.033635966,0.486331344,1.185429573,1.567295313,2.130666256,0.0465
-0.027668333,0.485997349,1.187037468,1.567913055,2.134388924,0.048
-0.021662261,0.482769638,1.188902617,1.570749044,2.139777184,0.0495
-0.017026152,0.485920459,1.183867455,1.567636728,2.149840117,0.051
-0.012962012,0.488061905,1.185037971,1.569206238,2.152868271,0.0525
-0.009431398,0.490042269,1.185513735,1.571290016,2.15789175,0.054
-0.010125991,0.488653064,1.17978406,1.569348097,2.167485952,0.0555
-0.008460434,0.487025946,1.175443649,1.571888447,2.168437719,0.057
-0.001264679,0.489861965,1.174653053,1.569927216,2.163164616,0.0585
0.002645712,0.492935926,1.176775217,1.563702583,2.16222477,0.06
0.011867584,0.495610893,1.178858995,1.568422794,2.167413712,0.0615
