mass,time no PVC,time PVC
0,15.67,64.5
0,16.12,64.5
0,20.69,80.31
0,20.12,80.37
0,35.94,35
0,36,34.97
0,26.84,48
0,25.93,47.75
0,26.03,34.65
0,26.78,34.85
0.5,28.82,38.15
0.5,28.78,36.81
0.5,25.12,93.78
0.5,24.56,93.69
0.5,17,47.65
0.5,16.37,47.53
0.5,13.68,52.71
0.5,13.25,52.18
0.5,30.47,103.47
0.5,31.53,103.62
1,22.56,56.28
1,22.53,55.69
1,44.4,71.07
1,44.97,72.81
1,37.63,112.28
1,38.75,116.08
1,13.16,86.59
1,14.13,86.53
1,65.65,61.41
1,72.12,62.34
2,16.72,38
2,17.5,37.97
2,19.59,70.18
2,20.2,70.13
2,113.75,115.39
2,113.75,115.54
2,66.54,68.2
2,67.37,67.61
2,31.4,82.99
2,32.15,84.73
5,38.91,49.95
5,39.65,49.83
5,23.06,55.01
5,23.72,54.48
5,31.87,105.77
5,32.62,105.92
5,168.03,58.58
5,168.19,57.99
5,11.12,73.37
5,12.62,75.11
10,16.37,102.58
10,17.47,106.58
10,76.28,140.15
10,76.04,142.02
10,116.65,34.9
10,118.47,34.24
10,14.81,101.55
10,15,100.55
10,26.98,160.99
10,28.16,158.89
50,48.75,44.96
50,49.69,45.85
50,25,58.09
50,22.19,59.38
50,22.12,27.53
50,22.81,28.53
50,17.65,140.28
50,18.59,137.97
50,25.53,100.28
50,25.78,104.28
100,14.9,137.85
100,15.05,139.72
100,19.41,32.6
100,19.81,31.94
100,12.71,99.25
100,13.25,98.25
100,11.44,146.72
100,12.19,147.97
100,11.22,127.41
100,11.72,127.78
150,28.31,170.28
150,30.02,170.03
150,25.66,109.4
150,25.87,110.43
150,17.5,185
150,17.72,184.78
150,39.81,124.47
150,40.12,125.22
150,14.06,94.84
150,15.25,94.09
200,39.1,158.69
200,40.02,156.59
200,13.22,100.44
200,13.82,101.03
200,16.56,154.94
200,17.81,159.12
200,24.94,146.16
200,26.19,145.44
200,19.69,127.69
200,19.9,127.72
